Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave_3,ave_5
Progressive Left Coronary Stenosis After Rotablator Ablation Appreciated by Doppler Echocardiography,"Kishimoto, Shintaro; Suda, Kenji; Iemura, Motofumi",PEDIATRIC CARDIOLOGY,09-Nov,2009,30,8,1190,1191,,10.1007/s00246-009-9532-0,1,0.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.2
Influenza A Virus NS1 Targets the Ubiquitin Ligase TRIM25 to Evade Recognition by the Host Viral RNA Sensor RIG-I,"Gack, Michaela Ulrike; Albrecht, Randy Allen; Urano, Tomohiko; Inn, Kyung-Soo; Huang, I-Chueh; Carnero, Elena; Farzan, Michael; Inoue, Satoshi; Jung, Jae Ung; Garcia-Sastre, Adolfo",CELL HOST & MICROBE,MAY 21 2009,2009,5,5,439,449,,10.1016/j.chom.2009.04.006,636,42.4,8,41,47,48,46,53,45,46,50,50,36,49,64,53,0,32,38
Effects of Schwann cell alignment along the oriented electrospun chitosan nanofibers on nerve regeneration,"Wang, Wei; Itoh, Soichiro; Konno, Katsumi; Kikkawa, Takeshi; Ichinose, Shizuko; Sakai, Katsuyoshi; Ohkuma, Tsuneo; Watabe, Kazuhiko",JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,DEC 15 2009,2009,91A,4,994,1005,,10.1002/jbm.a.32329,121,8.07,0,6,10,14,11,13,13,14,8,9,5,6,7,5,0,5.333333333,8.2
Sets of Frequency Hopping Sequences: Bounds and Optimal Constructions,"Ding, Cunsheng; Fuji-Hara, Ryoh; Fujiwara, Yuichiro; Jimbo, Masakazu; Mishima, Miwako",IEEE TRANSACTIONS ON INFORMATION THEORY,09-Jul,2009,55,7,3297,3304,,10.1109/TIT.2009.2021366,101,6.73,1,5,6,9,16,10,7,11,7,3,10,7,1,8,0,4,7.4
Optimal Frequency Hopping Sequences: Auto- and Cross-Correlation Properties,"Ge, Gennian; Miao, Ying; Yao, Zhongxiang",IEEE TRANSACTIONS ON INFORMATION THEORY,09-Feb,2009,55,2,867,879,,10.1109/TIT.2008.2009856,97,6.47,4,7,6,9,11,9,2,7,8,4,14,8,1,6,0,5.666666667,7.4
"Time-Lapse Changes of Seismic Velocity in the Shallow Ground Caused by Strong Ground Motion Shock of the 2000 Western-Tottori Earthquake, Japan, as Revealed from Coda Deconvolution Analysis","Sawazaki, Kaoru; Sato, Haruo; Nakahara, Hisashi; Nishimura, Takeshi",BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,FEB 1 2009,2009,99,1,352,366,,10.1785/0120080058,89,5.93,5,5,7,8,6,5,4,8,4,7,12,6,4,6,2,5.666666667,6.2
TESTING THE E-peak-E-iso RELATION FOR GRBs DETECTED BY SWIFT AND SUZAKU-WAM,"Krimm, H. A.; Yamaoka, K.; Sugita, S.; Ohno, M.; Sakamoto, T.; Barthelmy, S. D.; Gehrels, N.; Hara, R.; Norris, J. P.; Ohmori, N.; Onda, K.; Sato, G.; Tanaka, H.; Tashiro, M.; Yamauchi, M.",ASTROPHYSICAL JOURNAL,OCT 20 2009,2009,704,2,1405,1432,,10.1088/0004-637X/704/2/1405,66,4.4,2,11,13,11,6,4,5,0,4,3,1,3,2,1,0,8.666666667,8.6
Determination of Short-chain Fatty Acids in Rat and Human Feces by High-Performance Liquid Chromatography with Electrochemical Detection,"Kotani, Akira; Miyaguchi, Yuji; Kohama, Mototaka; Ohtsuka, Takafumi; Shiratori, Taisei; Kusu, Fumiyo",ANALYTICAL SCIENCES,09-Aug,2009,25,8,1007,1011,,10.2116/analsci.25.1007,54,3.6,0,1,1,2,3,2,5,1,6,5,9,6,6,7,0,0.666666667,1.4
Establishment of an Improved Mouse Model for Infantile Neuroaxonal Dystrophy That Shows Early Disease Onset and Bears a Point Mutation in Pla296,"Wada, Haruka; Yasuda, Takuwa; Miura, Ikuo; Watabe, Kazuhiko; Sawa, Chika; Kamijuku, Hajime; Kojo, Satoshi; Taniguchi, Masaru; Nishino, Ichizo; Wakana, Shigeharu; Yoshida, Hisahiro; Seino, Ken-ichiro",AMERICAN JOURNAL OF PATHOLOGY,09-Dec,2009,175,6,2257,2263,,10.2353/ajpath.2009.090343,45,3,0,2,6,3,7,3,7,6,4,2,1,1,1,2,0,2.666666667,3.6
The transcriptional repressor RP58 is crucial for cell-division patterning and neuronal survival in the developing cortex,"Okado, Haruo; Ohtaka-Maruyama, Chiaki; Sugitani, Yoshinobu; Fukuda, Yuko; Ishida, Reiko; Hirai, Shinobu; Miwa, Akiko; Takahashi, Akiyo; Aoki, Katsunori; Mochida, Keiji; Suzuki, Osamu; Honda, Takao; Nakajima, Kazunori; Ogawa, Masaharu; Terashima, Toshio; Matsuda, Junichiro; Kawano, Hitoshi; Kasai, Masataka",DEVELOPMENTAL BIOLOGY,JUL 15 2009,2009,331,2,140,151,,10.1016/j.ydbio.2009.04.030,44,2.93,1,3,3,7,3,2,4,2,6,3,4,2,4,0,0,2.333333333,3.4
Tomographic inversion of the peak delay times to reveal random velocity fluctuations in the lithosphere: method and application to northeastern Japan,"Takahashi, Tsutomu; Sato, Haruo; Nishimura, Takeshi; Obara, Kazushige",GEOPHYSICAL JOURNAL INTERNATIONAL,09-Sep,2009,178,3,1437,1455,,10.1111/j.1365-246X.2009.04227.x,42,2.8,0,1,2,1,5,6,4,4,4,1,4,2,4,4,0,1,1.8
"TRIM44 interacts with and stabilizes terf, a TRIM ubiquitin E3 ligase","Urano, Tomohiko; Usui, Takahiko; Takeda, Shizu; Ikeda, Kazuhiro; Okada, Atsushi; Ishida, Yoshiko; Iwayanagi, Takao; Otomo, Jun; Ouchi, Yasuyoshi; Inoue, Satoshi",BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,MAY 29 2009,2009,383,2,263,268,,10.1016/j.bbrc.2009.04.010,39,2.6,0,2,1,3,5,1,2,5,1,4,3,4,4,4,0,1,2.2
Inference-Based Ambiguity Management in Decentralized Decision-Making: Decentralized Diagnosis of Discrete-Event Systems,"Kumar, Ratnesh; Takai, Shigemasa",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,09-Jul,2009,6,3,479,491,,10.1109/TASE.2009.2021330,38,2.53,0,2,3,5,1,1,3,2,7,4,2,2,2,4,0,1.666666667,2.2
Alloying effects of Ru and W on the resistance to hydrogen embrittlement and hydrogen permeability of niobium,"Watanabe, N.; Yukawa, H.; Nambu, T.; Matsumoto, Y.; Zhang, G. X.; Morinaga, M.",JOURNAL OF ALLOYS AND COMPOUNDS,MAY 27 2009,2009,477,02-Jan,851,854,,10.1016/j.jallcom.2008.10.164,35,2.33,1,1,3,5,2,2,2,3,5,5,3,2,0,1,0,1.666666667,2.4
Construction of Highly Reactive Probes for Abasic Site Detection by Introduction of an Aromatic and a Guanidine Residue into an Aminooxy Group,"Kojima, Naoshi; Takebayashi, Toshie; Mikami, Akiko; Ohtsuka, Eiko; Komatsu, Yasuo",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,SEP 23 2009,2009,131,37,13208,13209,,10.1021/ja904767k,34,2.27,0,2,2,6,2,2,2,2,3,2,6,2,1,2,0,1.333333333,2.4
"The instructive role of metanephric mesenchyme in ureteric bud patterning, sculpting, and maturation and its potential ability to buffer ureteric bud branching defects","Shah, Mita M.; Tee, James B.; Meyer, Tobias; Meyer-Schwesinger, Catherine; Choi, Yohan; Sweeney, Derina E.; Gallegos, Thomas F.; Johkura, Kohei; Rosines, Eran; Kouznetsova, Valentina; Rose, David W.; Bush, Kevin T.; Sakurai, Hiroyuki; Nigam, Sanjay K.",AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,09-Nov,2009,297,5,F1330,F1341,,10.1152/ajprenal.00125.2009,22,1.47,0,5,5,2,2,2,0,0,1,0,1,2,0,1,1,3.333333333,2.8
ONE POT SYNTHESIS OF OPTICALLY ACTIVE 4-ISOXAZOLINES BY ASYMMETRIC ADDITION OF ALKYNYLZINC REAGENTS TO NITRONES FOLLOWED BY CYCLIZATION,"Wei, Weilin; Kobayashi, Masato; Ukaji, Yutaka; Inomata, Katsuhiko",HETEROCYCLES,MAR 1 2009,2009,78,3,717,724,,10.3987/COM-08-11566,22,1.47,0,2,2,3,2,3,1,3,2,2,0,0,2,0,0,1.333333333,1.8
Vortex lattice structure dependent on pairing symmetry in Rashba superconductors,"Hiasa, Norihito; Saiki, Taro; Ikeda, Ryusuke",PHYSICAL REVIEW B,09-Jul,2009,80,1,,,14501,10.1103/PhysRevB.80.014501,19,1.27,0,2,1,3,3,1,2,1,2,1,1,0,0,2,0,1,1.8
Reconstruction of spatial qutrit states based on realistic measurement operators,"Taguchi, Gen; Dougakiuchi, Tatsuo; Iinuma, Masataka; Hofmann, Holger F.; Kadoya, Yutaka",PHYSICAL REVIEW A,09-Dec,2009,80,6,,,62102,10.1103/PhysRevA.80.062102,18,1.2,0,3,3,2,2,1,2,2,0,1,0,0,1,1,0,2,2
Determination of oxysterols in oxidatively modified low-density lipoprotein by semi-micro high-performance liquid chromatography with electrochemical detection,"Matsunaga, Io; Hakamata, Hideki; Sadohara, Kazuhiro; Kakiuchi, Kosuke; Kusu, Fumiyo",ANALYTICAL BIOCHEMISTRY,OCT 15 2009,2009,393,2,222,228,,10.1016/j.ab.2009.06.032,16,1.07,0,0,2,2,3,0,3,1,4,0,0,0,0,1,0,0.666666667,1.4
Nonkinase activity of MLCK in elongated filopodia formation and chemotaxis of vascular smooth muscle cells toward sphingosylphosphorylcholine,"Wang, Hong Hui; Nakamura, Akio; Matsumoto, Atsushi; Yoshiyama, Shinji; Qin, Xiaoran; Ye, Li-Hong; Xie, Ce; Zhang, Yue; Gao, Ying; Ishikawa, Ryoki; Kohama, Kazuhiro",AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,09-May,2009,296,5,H1683,H1693,,10.1152/ajpheart.00965.2008,12,0.8,0,1,2,2,0,1,1,3,0,0,0,0,1,1,0,1,1
Effect of Ambient Gas and Temperature on Crystallization of Boron Nitride Spheres Prepared by Vapor Phase Pyrolysis of Ammonia Borane,"Wang, Yuting; Yamamoto, Yasunori; Kiyono, Hajime; Shimada, Shiro",JOURNAL OF THE AMERICAN CERAMIC SOCIETY,09-Apr,2009,92,4,787,792,,10.1111/j.1551-2916.2009.02941.x,12,0.8,0,3,0,1,0,3,1,0,1,1,0,1,1,0,0,1,0.8
How to simulate a universal quantum computer using negative probabilities,"Hofmann, Holger F.",JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL,JUL 10 2009,2009,42,27,,,275304,10.1088/1751-8113/42/27/275304,10,0.67,0,0,0,1,2,1,1,1,2,0,1,1,0,0,0,0,0.6
Retrieval of Green's function having coda from the cross-correlation function in a scattering medium illuminated by surrounding noise sources on the basis of the first order Born approximation,"Sato, Haruo",GEOPHYSICAL JOURNAL INTERNATIONAL,09-Oct,2009,179,1,408,412,,10.1111/j.1365-246X.2009.04296.x,9,0.6,1,1,2,3,1,0,0,0,0,1,0,0,0,0,0,1.333333333,1.6
ONE-PARAMETER FAMILIES OF DISTORTION RISK MEASURES,"Tsukahara, Hideatsu",MATHEMATICAL FINANCE,09-Oct,2009,19,4,691,705,,10.1111/j.1467-9965.2009.00385.x,9,0.6,0,0,0,0,2,2,0,0,0,1,2,1,0,1,0,0,0.4
Calcium Regulation of Non-Kinase and Kinase Activities of Recombinant Myosin Light-Chain Kinase and Its Mutants,"Xie, Ce; Zhang, Yue; Wang, Hong Hui; Matsumoto, Atsushi; Nakamura, Akio; Ishikawa, Ryoki; Yoshiyama, Shinji; Hayakawa, Kohichi; Kohama, Kazuhiro; Gao, Ying",IUBMB LIFE,09-Nov,2009,61,11,1092,1098,,10.1002/iub.266,8,0.53,0,0,2,1,0,1,1,0,0,0,0,1,2,0,0,0.666666667,0.6
Strain evolution in Si substrate due to implantation of MeV ion observed by extremely asymmetric x-ray diffraction,"Emoto, T.; Ghatak, J.; Satyam, P. V.; Akimoto, K.",JOURNAL OF APPLIED PHYSICS,AUG 15 2009,2009,106,4,,,43516,10.1063/1.3202329,6,0.4,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1.333333333,1
Pulse-shape effects on photon-photon interactions in nonlinear optical quantum gates,"Hofmann, Holger F.; Nishitani, Hitoshi",PHYSICAL REVIEW A,09-Jul,2009,80,1,,,13822,10.1103/PhysRevA.80.013822,6,0.4,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0.666666667,0.6
Efficient synthesis of oligonucleotide conjugates on solid-support using an (aminoethoxycarbonyl)aminohexyl group for 5 '-terminal modification,"Kojima, Naoshi; Takebayashi, Toshie; Mikami, Akiko; Ohtsuka, Eiko; Komatsu, Yasuo",BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,APR 15 2009,2009,19,8,2144,2147,,10.1016/j.bmcl.2009.02.121,6,0.4,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0.666666667,0.8
