Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,doi,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave3,ave5
Propagation of the centroid of the Poynting vector in transversely phase-modulated optical beams in spatially dispersive media,"Talukder, Aminul I.; Matsuo, Tsuyoshi; Matsumoto, Takahiro; Tomita, Makoto",PHYSICAL REVIEW A,DEC 23 2013,2013,88,6,,,63842,10.1103/PhysRevA.88.063842,,,2,0.18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2
Molecular beam epitaxial growth of graphene using cracked ethylene,"Maeda, Fumihiko; Hibino, Hiroki",JOURNAL OF CRYSTAL GROWTH,SEP 1 2013,2013,378,,404,409,,10.1016/j.jcrysgro.2012.12.073,17th International Conference on Molecular Beam Epitaxy (MBE),"SEP 23-28, 2012",2,0.18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.4
Fabrication of InAs nanoscale rings by droplet epitaxy,"Noda, T.; Jo, M.; Mano, T.; Kawazu, T.; Sakaki, H.",JOURNAL OF CRYSTAL GROWTH,SEP 1 2013,2013,378,,529,531,,10.1016/j.jcrysgro.2012.11.036,17th International Conference on Molecular Beam Epitaxy (MBE),"SEP 23-28, 2012",2,0.18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2
Novel field-induced quantum phase transition of the kagome-lattice antiferromagnet,"Sakai, Toru; Nakano, Hiroki",JOURNAL OF THE KOREAN PHYSICAL SOCIETY,AUG 2013,2013,63,3,601,604,,10.3938/jkps.63.601,19th International Conference on Magnetism (ICM),"JUL 08-12, 2012",2,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Photo-induced current in n-AlGaAs/GaAs heterojunction channels driven by local illumination at the edge regions of Hall bar,"Kawazu, Takuya; Noda, Takeshi; Mano, Takaaki; Sakuma, Yoshiki; Sakaki, Hiroyuki",APPLIED PHYSICS LETTERS,JUN 24 2013,2013,102,25,,,252104,10.1063/1.4812293,,,2,0.18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.2
Residue codes of extremal Type II Z(4)-codes and the moonshine vertex operator algebra,"Harada, Masaaki; Lam, Ching Hung; Munemasa, Akihiro",MATHEMATISCHE ZEITSCHRIFT,JUN 2013,2013,274,1-2,685,700,,10.1007/s00209-012-1091-z,,,2,0.18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.4
Fluctuations in an evolutional model of two-dimensional Young diagrams,"Funaki, Tadahisa; Sasada, Makiko; Sauer, Martin; Xie, Bin",STOCHASTIC PROCESSES AND THEIR APPLICATIONS,APR 2013,2013,123,4,1229,1275,,10.1016/j.spa.2012.12.005,,,2,0.18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.666666667,0.4
Magnetization Curve of the Kagome-Strip-Lattice Antiferromagnet,"Shimokawa, T.; Nakano, H.",JOURNAL OF LOW TEMPERATURE PHYSICS,MAR 2013,2013,170,5-6,328,333,,10.1007/s10909-012-0701-9,,,2,0.18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Remote Forcing and Response of Tropical Cyclones over the Bay of Bengal to the Asian Jet Variability in Late Fall,"Hirata, Hidetaka; Kawamura, Ryuichi",SOLA,2013,2013,9,,27,31,,10.2151/sola.2013-007,,,2,0.18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.333333333,0.2
Distinct Localization of Peripheral and Central Types of Choline Acetyltransferase in the Rat Cochlea,"Kitanishi, Tsuyoshi; Aimi, Yoshinari; Kitano, Hiroya; Suzuki, Mikio; Kimura, Hiroshi; Saito, Atsushi; Shimizu, Takeshi; Tooyama, Ikuo",ACTA HISTOCHEMICA ET CYTOCHEMICA,2013,2013,46,5,145,152,,10.1267/ahc.13021,,,2,0.18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"There is no [21,5,14] code over F-5","Araya, Makoto; Harada, Masaaki",DISCRETE MATHEMATICS,DEC 28 2013,2013,313,24,2872,2874,,10.1016/j.disc.2013.08.027,,,1,0.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333,0.2
"Synthesis of Methyl epi-Anhydroquinate Utilizing [2,3]-Sigmatropic Rearrangement of Iodosoalkene","Inomata, Sho; Ueda, Minoru; Sugai, Takeshi; Shoji, Mitsuru",CHEMISTRY LETTERS,OCT 5 2013,2013,42,10,1273,1275,,10.1246/cl.130612,,,1,0.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333,0.2
"Search for Non-Thermal Emissions from an Isolated Magnetic White Dwarf, EUVE J0317-855, with Suzaku","Harayama, Atsushi; Terada, Yukikatsu; Ishida, Manabu; Hayashi, Takayuki; Bamba, Aya; Tashiro, Makoto S.",PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,AUG 25 2013,2013,65,4,,,73,10.1093/pasj/65.4.73,,,1,0.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Photocatalytic nano-optical trapping using TiO2 nanosphere pairs mediated with Mie-scattered near field,"Honda, Toshiyuki; Terakawa, Mitsuhiro; Obara, Minoru",APPLIED PHYSICS B-LASERS AND OPTICS,APR 2013,2013,111,1,117,126,,10.1007/s00340-012-5314-0,,,1,0.09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2
Examples of alpha-selfdecomposable distributions,"Maejima, Makoto; Ueda, Yohei",STATISTICS & PROBABILITY LETTERS,JAN 2013,2013,83,1,286,291,,10.1016/j.spl.2012.09.022,,,1,0.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333,0.2
A Higher Order Approximation to a Percentage Point of the Distribution of a Noncentral t-Statistic Without the Normality Assumption,"Akahira, M.; Ohyauchi, N.; Kawai, S.",COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,OCT 1 2013,2013,42,9,2086,2105,,10.1080/03610918.2012.695841,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal structure of a supramolecular cation salt (adamantylammonium(+))(2)(benzo[18]crown-6)(2)[Pd(dmit)(2)](2-)(acetone)(2),"Kubo, Kazuya; Yan, Yin-Nan; Noro, Shin-ichiro; Akutagawa, Tomoyuki; Nakamura, Takayoshi",INORGANICA CHIMICA ACTA,AUG 1 2013,2013,404,,206,209,,10.1016/j.ica.2013.02.018,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum phase transitions in 1/3 plateau of the quantum spin tube,"Okunishi, Kouichi; Sato, Masahiro; Sakai, Toru; Okamoto, Kiyomi; Itoi, Chigaku",JOURNAL OF THE KOREAN PHYSICAL SOCIETY,AUG 2013,2013,63,3,596,600,,10.3938/jkps.63.596,19th International Conference on Magnetism (ICM),"JUL 08-12, 2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development of microsatellite markers from four Pittosporum taxa (Pittosporaceae) endemic to the Ogasawara (Bonin) Islands with cross-amplification in Ogasawara Pittosporum and P. tobira,"Katoh, Saeko; Ohi-Toma, Tetsuo; Murakami, Noriaki; Kato, Hidetoshi",CONSERVATION GENETICS RESOURCES,MAR 2013,2013,5,1,185,190,,10.1007/s12686-012-9764-9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum Critical Magnetization Behaviors of the Kagome- and Triangular-Lattice Antiferromagnets,"Sakai, Toru; Nakano, Hiroki",JOURNAL OF LOW TEMPERATURE PHYSICS,MAR 2013,2013,170,5-6,255,260,,10.1007/s10909-012-0735-z,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anomalous behavior of the spin gap of a spin-1/2 two-leg antiferromagnetic ladder with Ising-like rung interactions,"Tonegawa, Takashi; Okamoto, Kiyomi; Furuya, Shunsuke C.; Sakai, Toru",PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,MAR 2013,2013,250,3,575,578,,10.1002/pssb.201200757,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Systemically Injected Exosomes Targeted to EGFR Deliver Antitumor MicroRNA to Breast Cancer Cells,"Ohno, Shin-ichiro; Takanashi, Masakatsu; Sudo, Katsuko; Ueda, Shinobu; Ishikawa, Akio; Matsuyama, Nagahisa; Fujita, Koji; Mizutani, Takayuki; Ohgi, Tadaaki; Ochiya, Takahiro; Gotoh, Noriko; Kuroda, Masahiko",MOLECULAR THERAPY,JAN 2013,2013,21,1,185,191,,10.1038/mt.2012.180,,,1063,96.64,0,0,0,0,12,41,67,93,109,111,138,149,189,147,7,40,64.4
Modeling Alzheimer's Disease with iPSCs Reveals Stress Phenotypes Associated with Intracellular A beta and Differential Drug Responsiveness,"Kondo, Takayuki; Asai, Masashi; Tsukita, Kayoko; Kutoku, Yumiko; Ohsawa, Yutaka; Sunada, Yoshihide; Imamura, Keiko; Egawa, Naohiro; Yahata, Naoki; Okita, Keisuke; Takahashi, Kazutoshi; Asaka, Isao; Aoi, Takashi; Watanabe, Akira; Watanabe, Kaori; Kadoya, Chie; Nakano, Rie; Watanabe, Dai; Maruyama, Kei; Hori, Osamu; Hibino, Satoshi; Choshi, Tominari; Nakahata, Tatsutoshi; Hioki, Hiroyuki; Kaneko, Takeshi; Naitoh, Motoko; Yoshikawa, Katsuhiro; Yamawaki, Satoko; Suzuki, Shigehiko; Hata, Ryuji; Ueno, Shu-ichi; Seki, Tsuneyoshi; Kobayashi, Kazuhiro; Toda, Tatsushi; Murakami, Kazuma; Irie, Kazuhiro; Klein, William L.; Mori, Hiroshi; Asada, Takashi; Takahashi, Ryosuke; Iwata, Nobuhisa; Yamanaka, Shinya; Inoue, Haruhisa",CELL STEM CELL,APR 4 2013,2013,12,4,487,496,,10.1016/j.stem.2013.01.009,,,512,46.55,0,0,0,0,18,50,57,65,64,65,52,52,52,34,3,41.66666667,50.8
Leukemia cell to endothelial cell communication via exosomal miRNAs,"Umezu, T.; Ohyashiki, K.; Kuroda, M.; Ohyashiki, J. H.",ONCOGENE,MAY 30 2013,2013,32,22,2747,2755,,10.1038/onc.2012.295,,,346,31.45,0,0,0,0,12,21,29,42,41,47,52,37,35,27,3,20.66666667,29
Human adipose tissue-derived mesenchymal stem cells secrete functional neprilysin-bound exosomes,"Katsuda, Takeshi; Tsuchiya, Reiko; Kosaka, Nobuyoshi; Yoshioka, Yusuke; Takagaki, Kentaro; Oki, Katsuyuki; Takeshita, Fumitaka; Sakai, Yasuyuki; Kuroda, Masahiko; Ochiya, Takahiro",SCIENTIFIC REPORTS,FEB 1 2013,2013,3,,,,1197,10.1038/srep01197,,,335,30.45,0,0,0,0,7,15,14,30,28,37,41,60,59,43,1,12,18.8
Microglial Activation in Young Adults With Autism Spectrum Disorder,"Suzuki, Katsuaki; Sugihara, Genichi; Ouchi, Yasuomi; Nakamura, Kazuhiko; Futatsubashi, Masami; Takebayashi, Kiyokazu; Yoshihara, Yujiro; Omata, Kei; Matsumoto, Kaori; Tsuchiya, Kenji J.; Iwata, Yasuhide; Tsujii, Masatsugu; Sugiyama, Toshirou; Mori, Norio",JAMA PSYCHIATRY,JAN 2013,2013,70,1,49,58,,10.1001/jamapsychiatry.2013.272,,,300,27.27,0,0,0,0,11,15,41,24,39,24,44,38,36,24,4,22.33333333,26
Host-selective toxins produced by the plant pathogenic fungus Alternaria alternata,"Tsuge, Takashi; Harimoto, Yoshiaki; Akimitsu, Kazuya; Ohtani, Kouhei; Kodama, Motoichiro; Akagi, Yasunori; Egusa, Mayumi; Yamamoto, Mikihiro; Otani, Hiroshi",FEMS MICROBIOLOGY REVIEWS,JAN 2013,2013,37,1,44,66,,10.1111/j.1574-6976.2012.00350.x,,,224,20.36,0,0,0,0,5,18,15,23,26,15,21,31,34,35,1,12.66666667,17.4
DIRECT IMAGING OF A COLD JOVIAN EXOPLANET IN ORBIT AROUND THE SUN-LIKE STAR GJ 504,"Kuzuhara, M.; Tamura, M.; Kudo, T.; Janson, M.; Kandori, R.; Brandt, T. D.; Thalmann, C.; Spiegel, D.; Biller, B.; Carson, J.; Hori, Y.; Suzuki, R.; Burrows, A.; Henning, T.; Turner, E. L.; McElwain, M. W.; Moro-Martin, A.; Suenaga, T.; Takahashi, Y. H.; Kwon, J.; Lucas, P.; Abe, L.; Brandner, W.; Egner, S.; Feldt, M.; Fujiwara, H.; Goto, M.; Grady, C. A.; Guyon, O.; Hashimoto, J.; Hayano, Y.; Hayashi, M.; Hayashi, S. S.; Hodapp, K. W.; Ishii, M.; Iye, M.; Knapp, G. R.; Matsuo, T.; Mayama, S.; Miyama, S.; Morino, J-I.; Nishikawa, J.; Nishimura, T.; Kotani, T.; Kusakabe, N.; Pyo, T-S.; Serabyn, E.; Suto, H.; Takami, M.; Takato, N.; Terada, H.; Tomono, D.; Watanabe, M.; Wisniewski, J. P.; Yamada, T.; Takami, H.; Usuda, T.",ASTROPHYSICAL JOURNAL,SEP 1 2013,2013,774,1,,,11,10.1088/0004-637X/774/1/11,,,191,17.36,0,0,0,0,6,42,37,33,17,19,5,11,12,9,0,28.33333333,27
Dynamics of rogue waves in the Davey-Stewartson II equation,"Ohta, Yasuhiro; Yang, Jianke",JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL,MAR 15 2013,2013,46,10,,,105202,10.1088/1751-8113/46/10/105202,,,175,15.91,0,0,0,0,2,10,14,13,30,30,17,17,20,22,0,8.666666667,13.8
Undrained shear behavior of loess saturated with different concentrations of sodium chloride solution,"Zhang, Fanyu; Wang, Gonghui; Kamai, Toshitaka; Chen, Wenwu; Zhang, Dexuan; Yang, Jun",ENGINEERING GEOLOGY,MAR 14 2013,2013,155,,69,79,,10.1016/j.enggeo.2012.12.018,,,147,13.36,0,0,0,0,0,5,3,9,14,21,17,18,28,30,2,2.666666667,6.2
Palladium-Catalyzed Intramolecular ipso-FriedelCrafts Alkylation of Phenols and Indoles: Rearomatization-Assisted Oxidative Addition,"Nemoto, Tetsuhiro; Zhao, Zengduo; Yokosaka, Takuya; Suzuki, Yuta; Wu, Riliga; Hamada, Yasumasa",ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2013,2013,52,8,2217,2220,,10.1002/anie.201209317,,,145,13.18,0,0,0,0,9,16,15,18,19,14,18,17,12,6,1,13.33333333,15.4
Metabolic Regulation of Osteoclast Differentiation and Function,"Indo, Yoriko; Takeshita, Sunao; Ishii, Kiyo-Aki; Hoshii, Takayuki; Aburatani, Hiroyuki; Hirao, Atsushi; Ikeda, Kyoji",JOURNAL OF BONE AND MINERAL RESEARCH,NOV 2013,2013,28,11,2392,2399,,10.1002/jbmr.1976,,,130,11.82,0,0,0,0,0,7,6,12,17,20,12,15,16,23,2,4.333333333,8.4
Loss of TDP-43 causes age-dependent progressive motor neuron degeneration,"Iguchi, Yohei; Katsuno, Masahisa; Niwa, Jun-ichi; Takagi, Shinnosuke; Ishigaki, Shinsuke; Ikenaka, Kensuke; Kawai, Kaori; Watanabe, Hirohisa; Yamanaka, Koji; Takahashi, Ryosuke; Misawa, Hidemi; Sasaki, Shoichi; Tanaka, Fumiaki; Sobue, Gen",BRAIN,MAY 2013,2013,136,,1371,1382,,10.1093/brain/awt029,,,118,10.73,0,0,0,0,5,11,11,12,14,13,12,10,15,15,0,9,10.6
DIRECT IMAGING DISCOVERY OF A SUPER-JUPITER AROUND THE LATE B-TYPE STAR kappa And,"Carson, J.; Thalmann, C.; Janson, M.; Kozakis, T.; Bonnefoy, M.; Biller, B.; Schlieder, J.; Currie, T.; McElwain, M.; Goto, M.; Henning, T.; Brandner, W.; Feldt, M.; Kandori, R.; Kuzuhara, M.; Stevens, L.; Wong, P.; Gainey, K.; Fukagawa, M.; Kuwada, Y.; Brandt, T.; Kwon, J.; Abe, L.; Egner, S.; Grady, C.; Guyon, O.; Hashimoto, J.; Hayano, Y.; Hayashi, M.; Hayashi, S.; Hodapp, K.; Ishii, M.; Iye, M.; Knapp, G.; Kudo, T.; Kusakabe, N.; Matsuo, T.; Miyama, S.; Morino, J.; Moro-Martin, A.; Nishimura, T.; Pyo, T.; Serabyn, E.; Suto, H.; Suzuki, R.; Takami, M.; Takato, N.; Terada, H.; Tomono, D.; Turner, E.; Watanabe, M.; Wisniewski, J.; Yamada, T.; Takami, H.; Usuda, T.; Tamura, M.",ASTROPHYSICAL JOURNAL LETTERS,FEB 1 2013,2013,763,2,,,L32,10.1088/2041-8205/763/2/L32,,,118,10.73,0,0,0,0,22,28,16,16,10,8,3,6,4,4,1,22,18.4
High-speed solar wind with southward interplanetary magnetic field causes relativistic electron flux enhancement of the outer radiation belt via enhanced condition of whistler waves,"Miyoshi, Y.; Kataoka, R.; Kasahara, Y.; Kumamoto, A.; Nagai, T.; Thomsen, M. F.",GEOPHYSICAL RESEARCH LETTERS,SEP 16 2013,2013,40,17,4520,4525,,10.1002/grl.50916,,,102,9.27,0,0,0,0,0,10,7,15,9,14,14,6,18,9,0,5.666666667,8.2
IgA production in the large intestine is modulated by a different mechanism than in the small intestine: Bacteroides acidifaciens promotes IgA production in the large intestine by inducing germinal center formation and increasing the number of IgA(+) B cells,"Yanagibashi, Tsytomu; Hosono, Akira; Oyama, Akihito; Tsuda, Masato; Suzuki, Ami; Hachimura, Satoshi; Takahashi, Yoshimasa; Momose, Yoshika; Itoh, Kikuji; Hirayama, Kazuhiro; Takahashi, Kyoko; Kaminogawa, Shuichi",IMMUNOBIOLOGY,APR 2013,2013,218,4,645,651,,10.1016/j.imbio.2012.07.033,,,100,9.09,0,0,0,0,0,3,6,4,8,12,14,18,16,19,0,3,4.2
Roles of exosomes and microvesicles in disease pathogenesis,"Ohno, Shin-ichiro; Ishikawa, Akio; Kuroda, Masahiko",ADVANCED DRUG DELIVERY REVIEWS,MAR 2013,2013,65,3,398,401,,10.1016/j.addr.2012.07.019,,,95,8.64,0,0,0,0,5,12,14,10,12,4,13,8,7,10,0,10.33333333,10.6
bHLH Transcription Factors That Facilitate K+ Uptake During Stomatal Opening Are Repressed by Abscisic Acid Through Phosphorylation,"Takahashi, Yohei; Ebisu, Yuta; Kinoshita, Toshinori; Doi, Michio; Okuma, Eiji; Murata, Yoshiyuki; Shimazaki, Ken-ichiro",SCIENCE SIGNALING,JUN 18 2013,2013,6,280,,,ra48,10.1126/scisignal.2003760,,,82,7.45,0,0,0,0,1,5,11,14,7,7,5,11,11,10,0,5.666666667,7.6
Hypoxia Stimulates the EMT of Gastric Cancer Cells through Autocrine TGF beta Signaling,"Matsuoka, Junko; Yashiro, Masakazu; Doi, Yosuke; Fuyuhiro, Yuhiko; Kato, Yukihiro; Shinto, Osamu; Noda, Satoru; Kashiwagi, Shinichiro; Aomatsu, Naoki; Hirakawa, Toshiki; Hasegawa, Tsuyoshi; Shimizu, Kiyoshi; Shimizu, Toshiyuki; Miwa, Atsushi; Yamada, Nobuya; Sawada, Tetsuji; Hirakawa, Kosei",PLOS ONE,MAY 17 2013,2013,8,5,,,e62310,10.1371/journal.pone.0062310,,,79,7.18,0,0,0,0,3,5,13,12,7,12,7,5,7,8,0,7,8
miR-92a Inhibits Peritoneal Dissemination of Ovarian Cancer Cells by Inhibiting Integrin alpha 5 Expression,"Ohyagi-Hara, Chifumi; Sawada, Kenjiro; Kamiura, Shoji; Tomita, Yasuhiko; Isobe, Aki; Hashimoto, Kae; Kinose, Yasuto; Mabuchi, Seiji; Hisamatsu, Takeshi; Takahashi, Toshifumi; Kumasawa, Keiichi; Nagata, Shigenori; Morishige, Ken-Ichirou; Lengyel, Ernst; Kurachi, Hirohisa; Kimura, Tadashi",AMERICAN JOURNAL OF PATHOLOGY,MAY 2013,2013,182,5,1876,1889,,10.1016/j.ajpath.2013.01.039,,,77,7,0,0,0,0,2,6,8,17,11,6,5,10,7,5,0,5.333333333,8.8
Stochastic determination of effective Hamiltonian for the full configuration interaction solution of quasi-degenerate electronic states,"Ten-no, Seiichiro",JOURNAL OF CHEMICAL PHYSICS,APR 28 2013,2013,138,16,,,164126,10.1063/1.4802766,,,70,6.36,0,0,0,0,2,10,9,9,5,7,7,10,7,4,0,7,7
Multiple causes of interannual sea surface temperature variability in the equatorial Atlantic Ocean,"Richter, Ingo; Behera, Swadhin K.; Masumoto, Yukio; Taguchi, Bunmei; Sasaki, Hideharu; Yamagata, Toshio",NATURE GEOSCIENCE,JAN 2013,2013,6,1,43,47,,10.1038/NGEO1660,,,70,6.36,0,0,0,0,3,6,9,4,7,8,11,8,7,7,0,6,5.8
Evidence for the Appearance of Atmospheric Tau Neutrinos in Super-Kamiokande,"Abe, K.; Hayato, Y.; Iida, T.; Iyogi, K.; Kameda, J.; Koshio, Y.; Kozuma, Y.; Marti, Ll.; Miura, M.; Moriyama, S.; Nakahata, M.; Nakayama, S.; Obayashi, Y.; Sekiya, H.; Shiozawa, M.; Suzuki, Y.; Takeda, A.; Takenaga, Y.; Ueno, K.; Ueshima, K.; Yamada, S.; Yokozawa, T.; Ishihara, C.; Kaji, H.; Kajita, T.; Kaneyuki, K.; Lee, K. P.; McLachlan, T.; Okumura, K.; Shimizu, Y.; Tanimoto, N.; Labarga, L.; Kearns, E.; Litos, M.; Raaf, J. L.; Stone, J. L.; Sulak, L. R.; Goldhaber, M.; Bays, K.; Kropp, W. R.; Mine, S.; Regis, C.; Renshaw, A.; Smy, M. B.; Sobel, H. W.; Ganezer, K. S.; Hill, J.; Keig, W. E.; Jang, J. S.; Kim, J. Y.; Lim, I. T.; Albert, J. B.; Scholberg, K.; Walter, C. W.; Wendell, R.; Wongjirad, T. M.; Ishizuka, T.; Tasaka, S.; Learned, J. G.; Matsuno, S.; Smith, S. N.; Hasegawa, T.; Ishida, T.; Ishii, T.; Kobayashi, T.; Nakadaira, T.; Nakamura, K.; Nishikawa, K.; Oyama, Y.; Sakashita, K.; Sekiguchi, T.; Tsukamoto, T.; Suzuki, A. T.; Takeuchi, Y.; Ikeda, M.; Minamino, A.; Nakaya, T.; Fukuda, Y.; Itow, Y.; Mitsuka, G.; Tanaka, T.; Jung, C. K.; Lopez, G. D.; Taylor, I.; Yanagisawa, C.; Ishino, H.; Kibayashi, A.; Mino, S.; Mori, T.; Sakuda, M.; Toyota, H.; Kuno, Y.; Yoshida, M.; Kim, S. B.; Yang, B. S.; Okazawa, H.; Choi, Y.; Nishijima, K.; Koshiba, M.; Yokoyama, M.; Totsuka, Y.; Martens, K.; Schuemann, J.; Vagins, M. R.; Chen, S.; Heng, Y.; Yang, Z.; Zhang, H.; Kielczewska, D.; Mijakowski, P.; Connolly, K.; Dziomba, M.; Thrane, E.; Wilkes, R. J.",PHYSICAL REVIEW LETTERS,MAY 2 2013,2013,110,18,,,181802,10.1103/PhysRevLett.110.181802,,,69,6.27,0,0,0,0,4,9,13,17,3,5,3,4,7,4,0,8.666666667,9.2
Optineurin suppression causes neuronal cell death via NF-kappa B pathway,"Akizuki, Mayumi; Yamashita, Hirofumi; Uemura, Kengo; Maruyama, Hirofumi; Kawakami, Hideshi; Ito, Hidefumi; Takahashi, Ryosuke",JOURNAL OF NEUROCHEMISTRY,SEP 2013,2013,126,6,699,704,,10.1111/jnc.12326,,,67,6.09,0,0,0,0,1,7,5,9,7,9,7,11,8,3,0,4.333333333,5.8
Downregulation of the Expression of Mitochondrial Electron Transport Complex Genes in Autism Brains,"Anitha, Ayyappan; Nakamura, Kazuhiko; Thanseem, Ismail; Matsuzaki, Hideo; Miyachi, Taishi; Tsujii, Masatsugu; Iwata, Yasuhide; Suzuki, Katsuaki; Sugiyama, Toshiro; Mori, Norio",BRAIN PATHOLOGY,MAY 2013,2013,23,3,294,302,,10.1111/bpa.12002,,,62,5.64,0,0,0,0,5,8,9,5,7,3,4,8,11,2,0,7.333333333,6.8
MAPPING H-BAND SCATTERED LIGHT EMISSION IN THE MYSTERIOUS SR21 TRANSITIONAL DISK,"Follette, Katherine B.; Tamura, Motohide; Hashimoto, Jun; Whitney, Barbara; Grady, Carol; Close, Laird; Andrews, Sean M.; Kwon, Jungmi; Wisniewski, John; Brandt, Timothy D.; Mayama, Satoshi; Kandori, Ryo; Dong, Ruobing; Abe, Lyu; Brandner, Wolfgang; Carson, Joseph; Currie, Thayne; Egner, Sebastian E.; Feldt, Markus; Goto, Miwa; Guyon, Olivier; Hayano, Yutaka; Hayashi, Masahiko; Hayashi, Saeko; Henning, Thomas; Hodapp, Klaus; Ishii, Miki; Iye, Masanori; Janson, Markus; Knapp, Gillian R.; Kudo, Tomoyuki; Kusakabe, Nobuhiko; Kuzuhara, Masayuki; McElwain, Michael W.; Matsuo, Taro; Miyama, Shoken; Morino, Jun-Ichi; Moro-Martin, Amaya; Nishimura, Tetsuo; Pyo, Tae-Soo; Serabyn, Eugene; Suto, Hiroshi; Suzuki, Ryuji; Takami, Michihiro; Takato, Naruhisa; Terada, Hiroshi; Thalmann, Christian; Tomono, Daigo; Turner, Edwin L.; Watanabe, Makoto; Yamada, Toru; Takami, Hideki; Usuda, Tomonori",ASTROPHYSICAL JOURNAL,APR 10 2013,2013,767,1,,,10,10.1088/0004-637X/767/1/10,,,60,5.45,0,0,0,0,3,6,18,11,11,6,2,2,0,1,0,9,9.8
A Ca2+-dependent signalling circuit regulates influenza A virus internalization and infection,"Fujioka, Yoichiro; Tsuda, Masumi; Nanbo, Asuka; Hattori, Tomoe; Sasaki, Junko; Sasaki, Takehiko; Miyazaki, Tadaaki; Ohba, Yusuke",NATURE COMMUNICATIONS,NOV 2013,2013,4,,,,2763,10.1038/ncomms3763,,,59,5.36,0,0,0,0,0,1,4,5,4,8,6,8,11,11,1,1.666666667,2.8
"Free-Radical-Mediated [2+2+1] Cycloaddition of Acetylenes, Amidines, and CO Leading to Five-Membered alpha,beta-Unsaturated Lactams","Fukuyama, Takahide; Nakashima, Nao; Okada, Takuma; Ryu, Ilhyong",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,JAN 23 2013,2013,135,3,1006,1008,,10.1021/ja312654q,,,59,5.36,0,0,0,0,4,10,8,6,4,5,6,4,5,6,1,7.333333333,6.4
The expression level of miR-18b in hepatocellular carcinoma is associated with the grade of malignancy and prognosis,"Murakami, Yoshiki; Tamori, Akihiro; Itami, Saori; Tanahashi, Toshihito; Toyoda, Hidenori; Tanaka, Masami; Wu, Weihong; Brojigin, Nariso; Kaneoka, Yuji; Maeda, Atsuyuki; Kumada, Takashi; Kawada, Norifumi; Kubo, Shoji; Kuroda, Masahiko",BMC CANCER,MAR 4 2013,2013,13,,,,99,10.1186/1471-2407-13-99,,,56,5.09,0,0,0,0,1,10,9,10,7,2,6,3,5,3,0,6.666666667,7.4
Baculovirus genes modulating intracellular innate antiviral immunity of lepidopteran insect cells,"Ikeda, Motoko; Yamada, Hayato; Hamajima, Rina; Kobayashi, Michihiro",VIROLOGY,JAN 5 2013,2013,435,1,1,13,,10.1016/j.virol.2012.10.016,,,55,5,0,0,0,0,6,5,2,5,6,7,6,6,6,6,0,4.333333333,4.8
