awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi
21500398,2009,2011,3400000,0,84420,3,556,10,10.1016/j.ydbio.2009.04.030
21500398,2009,2011,3400000,0,84420,3,556,10,10.2183/pjab.87.550
21500398,2009,2011,3400000,0,84420,3,556,10,10.1371/journal.pgen.1002279
21500450,2009,2011,3600000,0,24601,3,556,2,10.3892/etm.2012.474
21500341,2009,2011,3500000,0,82609,3,556,11,10.1007/s00418-012-0934-3
21500341,2009,2011,3500000,0,82609,3,556,11,10.1155/2011/374943
21500341,2009,2011,3500000,0,82609,3,556,11,10.3109/17482968.2011.566342
21500341,2009,2011,3500000,0,82609,3,556,11,10.1016/j.neuroscience.2011.05.034
21500341,2009,2011,3500000,0,82609,3,556,11,10.1002/jnr.22605
21500341,2009,2011,3500000,0,82609,3,556,11,10.3109/17482968.2010.539234
21500341,2009,2011,3500000,0,82609,3,556,11,10.1111/j.1440-1789.2010.01123.x
21500341,2009,2011,3500000,0,82609,3,556,11,10.3233/jad-2010-1360
21500341,2009,2011,3500000,0,82609,3,556,11,10.2353/ajpath.2009.090343
21500341,2009,2011,3500000,0,82609,3,556,11,10.1002/jbm.a.32329
21500974,2009,2012,3500000,0,12608,4,556,1,10.1177/0306312712437619
21500282,2009,2011,3500000,0,32630,3,556,3,10.1002/cjs
21500282,2009,2011,3500000,0,32630,3,556,3,10.1007/s11749-011-0257-z
21500282,2009,2011,3500000,0,32630,3,556,3,10.1111/j.1467-9965.2009.00385.x
21500282,2009,2011,3500000,0,32630,3,556,3,10.1007/978-4-431-92935-2_6
21500408,2009,2012,3400000,0,14401,4,556,1,10.1002/mrm.24452
21500087,2009,2011,3500000,0,37102,3,556,3,10.1002/cpe.2841
21500948,2009,2011,3500000,0,21602,3,556,2,10.1016/j.knosys.2011.04.007
21500948,2009,2011,3500000,0,21602,3,556,2,10.1007/978-3-642-21827-9_2
21500494,2009,2011,3500000,0,32635,3,556,3,10.1007/s10047-012-0633-9
21500494,2009,2011,3500000,0,32635,3,556,3,10.1007/s10047-011-0576-6
21500494,2009,2011,3500000,0,32635,3,556,3,10.1007/s10047-012-0630-z
21500494,2009,2011,3500000,0,32635,3,556,3,10.1007/s10047-012-0634-8
21500494,2009,2011,3500000,0,32635,3,556,3,10.3390/s120202152
21500667,2009,2011,3400000,0,34305,3,556,3,10.1007/s00484-011-0430-9
21500667,2009,2011,3400000,0,34305,3,556,3,10.1055/s-0031-1301329
21510233,2009,2011,3500000,0,32665,3,556,3,10.1007/s00425-012-1590-5
21510233,2009,2011,3500000,0,32665,3,556,3,10.1105/tpc.110.082685
21500393,2009,2011,3400000,0,82112,3,556,10,10.1007/s00335-011-9353-3
21500419,2009,2011,3600000,0,382805,3,556,10,10.1038/onc.2011.235
21500419,2009,2011,3600000,0,382805,3,556,10,10.1002/nbm.1715
22510225,2010,2012,3400000,0,33101,3,556,3,10.1248/cpb.60.377
22500050,2010,2012,3000000,0,25403,3,556,2,10.1109/ismvl.2012.73
22500050,2010,2012,3000000,0,25403,3,556,2,10.1109/dsd.2011.94
22500050,2010,2012,3000000,0,25403,3,556,2,10.1109/ismvl.2011.32
22500050,2010,2012,3000000,0,25403,3,556,2,10.1587/transinf.e93.d.2059
22500050,2010,2012,3000000,0,25403,3,556,2,10.1109/ismvl.2010.49
22501023,2010,2012,3400000,0,17102,3,556,1,10.4049/jimmunol.1101971
22501023,2010,2012,3400000,0,17102,3,556,1,10.1007/s10549-011-1930-3
22501023,2010,2012,3400000,0,17102,3,556,1,10.1007/s00262-011-1132-1
22500323,2010,2012,2600000,0,82609,3,556,11,10.1111/neup.12033
22500323,2010,2012,2600000,0,82609,3,556,11,10.3171/2013.1.jns12681
22500323,2010,2012,2600000,0,82609,3,556,11,10.1007/s10014-012-0130-0
22500323,2010,2012,2600000,0,82609,3,556,11,10.3109/02688697.2012.741736
22500392,2010,2012,3300000,0,32644,3,556,3,10.1002/dvg.22035
22500392,2010,2012,3300000,0,32644,3,556,3,10.1002/art.30280
22500392,2010,2012,3300000,0,32644,3,556,3,10.1002/jcp.22438
22500392,2010,2012,3300000,0,32644,3,556,3,10.1002/art.27599
22500728,2010,2012,3300000,0,12614,3,556,1,10.3136/fstr.17.471
22500296,2010,2012,2600000,0,32622,3,556,3,10.1038/hr.2012.224
22500296,2010,2012,2600000,0,32622,3,556,3,10.1111/ejn.12054
22500296,2010,2012,2600000,0,32622,3,556,3,10.1113/jphysiol.2011.222687
22500296,2010,2012,2600000,0,32622,3,556,3,10.1007/s12576-011-0179-2
22500296,2010,2012,2600000,0,32622,3,556,3,10.1016/j.neures.2011.06.008
22500296,2010,2012,2600000,0,32622,3,556,3,10.1016/j.neuroscience.2012.03.037
22510213,2010,2012,3400000,0,32644,3,556,3,10.1038/jhg.2013.2
22510213,2010,2012,3400000,0,32644,3,556,3,10.1371/journal.pone.0060793
22510213,2010,2012,3400000,0,32644,3,556,3,10.1111/j.1399-0039.2012.01941.x
22510213,2010,2012,3400000,0,32644,3,556,3,10.1007/s00251-013-0690-0
22510213,2010,2012,3400000,0,32644,3,556,3,10.1016/j.humimm.2011.03.011
22510213,2010,2012,3400000,0,32644,3,556,3,10.1371/journal.pone.0025389
22500456,2010,2012,3400000,0,13901,3,556,1,10.3164/jcbn.12-72
22500456,2010,2012,3400000,0,13901,3,556,1,10.1016/j.bbr.2011.06.036
22500456,2010,2012,3400000,0,13901,3,556,1,10.1002/jnr.22566
22500300,2010,2012,3400000,0,63904,3,556,5,10.1002/cne.23160
22500300,2010,2012,3400000,0,63904,3,556,5,10.1371/journal.pone.0046157
22500353,2010,2012,3400000,0,12401,3,556,1,10.1371/journal.pone.0051286
22500353,2010,2012,3400000,0,12401,3,556,1,10.1111/j.1365-2443.2012.01627.x
22500353,2010,2012,3400000,0,12401,3,556,1,10.1111/j.1365-2443.2012.01624.x
22500353,2010,2012,3400000,0,12401,3,556,1,10.1091/mbc.e11-10-0857
22500353,2010,2012,3400000,0,12401,3,556,1,10.1091/mbc.e10-10-0855
22500353,2010,2012,3400000,0,12401,3,556,1,10.1186/1472-6750-12-1
22500353,2010,2012,3400000,0,12401,3,556,1,10.1093/glycob/cwr019
22500353,2010,2012,3400000,0,12401,3,556,1,10.1371/journal.pgen.1001055
22500353,2010,2012,3400000,0,12401,3,556,1,10.1016/j.neuron.2010.04.033
22500353,2010,2012,3400000,0,12401,3,556,1,10.1074/jbc.m109.088229
22500353,2010,2012,3400000,0,12401,3,556,1,10.1091/mbc.e09-12-1010
22500353,2010,2012,3400000,0,12401,3,556,1,10.1242/dev.050708
22500353,2010,2012,3400000,0,12401,3,556,1,10.1371/journal.pone.0008857
22500353,2010,2012,3400000,0,12401,3,556,1,10.1534/g3.112.003830
22500353,2010,2012,3400000,0,12401,3,556,1,10.1016/j.bbrc.2012.05.145
22510066,2010,2012,3400000,0,32425,3,556,3,10.3164/jcbn.d-11-00021
22500496,2010,2012,3400000,0,82626,3,556,10,10.1186/1475-925x-11-6
22500496,2010,2012,3400000,0,82626,3,556,10,10.1556/aphysiol.99.2012.1.3
22500688,2010,2013,2700000,0,82602,4,556,8,10.1155/2013/194693
22500688,2010,2013,2700000,0,82602,4,556,8,10.1111/j.1741-6612.2012.00601.x
22500197,2010,2012,3000000,0,12101,3,556,1,10.7566/jpsj.82.025002
22500197,2010,2012,3000000,0,12101,3,556,1,10.1143/jpsj.81.034004
22500197,2010,2012,3000000,0,12101,3,556,1,10.1103/physreve.86.031924
22500197,2010,2012,3000000,0,12101,3,556,1,10.1143/jpsj.80.074002
22510243,2010,2012,3500000,0,82401,3,556,10,10.4052/tigg.24.225
22510243,2010,2012,3500000,0,82401,3,556,10,10.4052/tigg.24.179
22510243,2010,2012,3500000,0,82401,3,556,10,10.5059/yukigoseikyokaishi.70.382
22510243,2010,2012,3500000,0,82401,3,556,10,10.1021/ja208528c
22510243,2010,2012,3500000,0,82401,3,556,10,10.4052/tigg.23.106
22510243,2010,2012,3500000,0,82401,3,556,10,10.1021/ja109932t
22510243,2010,2012,3500000,0,82401,3,556,10,10.1016/j.bmc.2010.04.013
22500119,2010,2012,3300000,0,12301,3,556,1,10.1109/icdm.2011.125
22500119,2010,2012,3300000,0,12301,3,556,1,10.1109/icdmw.2012.14
22500381,2010,2012,3300000,0,10101,3,556,1,10.1016/j.micinf.2011.04.003
22500380,2010,2012,3300000,0,10101,3,556,1,10.1016/j.orcp.2013.01.005
22500380,2010,2012,3300000,0,10101,3,556,1,10.1258/ebm.2011.011143
22510202,2010,2012,3500000,0,12102,3,556,1,10.1038/srep00577
22500153,2010,2012,3400000,0,14303,3,556,1,10.1527/tjsai.28.261
22500153,2010,2012,3400000,0,14303,3,556,1,10.1007/978-1-4614-1335-6_11
22510133,2010,2012,3300000,0,11101,3,556,1,10.1016/j.fss.2011.10.001
22501017,2010,2012,3300000,0,32409,3,556,3,10.1002/stem.1147
22501017,2010,2012,3300000,0,32409,3,556,3,10.1016/j.stem.2011.04.020
22500188,2010,2014,3300000,0,27101,5,556,2,10.3169/itej.66.j182
22500188,2010,2014,3300000,0,27101,5,556,2,10.3169/itej.66.j271
22500025,2010,2014,3300000,0,12611,5,556,1,10.1145/2658761.2658775
22500025,2010,2014,3300000,0,12611,5,556,1,10.1007/s10990-012-9087-2
22500025,2010,2014,3300000,0,12611,5,556,1,10.1145/2047862.2047882
22500600,2010,2012,3600000,0,37112,3,556,3,10.1038/srep01871
22500322,2010,2012,2900000,0,32684,3,556,3,10.1007/s10571-009-9466-3
22500322,2010,2012,2900000,0,32684,3,556,3,10.1007/s10571-009-9489-9
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/j.1365-2990.2010.01076.x
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/j.1759-1961.2010.00013.x
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/j.1440-1789.2010.01174.x
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/j.1468-1331.2010.03311.x
22500322,2010,2012,2900000,0,32684,3,556,3,10.1007/s10571-011-9698-x
22500322,2010,2012,2900000,0,32684,3,556,3,10.1371/journal.pone.0017683
22500322,2010,2012,2900000,0,32684,3,556,3,10.1186/1756-0381-4-17
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/j.1365-2990.2011.01206.x
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/j.1440-1789.2011.01256.x
22500322,2010,2012,2900000,0,32684,3,556,3,10.1016/j.expneurol.2011.09.003
22500322,2010,2012,2900000,0,32684,3,556,3,10.1007/s10571-011-9769-z
22500322,2010,2012,2900000,0,32684,3,556,3,10.1186/1475-2867-12-14
22500322,2010,2012,2900000,0,32684,3,556,3,10.1186/alzrt136
22500322,2010,2012,2900000,0,32684,3,556,3,10.1186/1756-0381-5-17
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/j.1365-2990.2012.01281.x
22500322,2010,2012,2900000,0,32684,3,556,3,10.4137/grsb.s11433
22500322,2010,2012,2900000,0,32684,3,556,3,10.1177/1352458512471873
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/nan.12036
22500322,2010,2012,2900000,0,32684,3,556,3,10.1111/cen3.12011
22500417,2010,2012,3400000,0,34416,3,556,3,10.4236/jbise.2012.51003
22500417,2010,2012,3400000,0,34416,3,556,3,10.1016/j.carbpol.2009.11.050
22500417,2010,2012,3400000,0,34416,3,556,3,10.1163/092050610x491067
22500417,2010,2012,3400000,0,34416,3,556,3,10.1016/j.carbpol.2010.06.023
22500417,2010,2012,3400000,0,34416,3,556,3,10.1016/j.carbpol.2010.06.001
22500417,2010,2012,3400000,0,34416,3,556,3,10.3390/ijms12031876
22500292,2010,2012,3300000,0,14401,3,556,1,10.1242/dev.091793
22500292,2010,2012,3300000,0,14401,3,556,1,10.1021/nn403625s
22500292,2010,2012,3300000,0,14401,3,556,1,10.1002/arch.20402
22500292,2010,2012,3300000,0,14401,3,556,1,10.1016/j.ydbio.2010.12.027
22500292,2010,2012,3300000,0,14401,3,556,1,10.1371/journal.pgen.1000936
22510139,2010,2012,3300000,0,12301,3,556,1,10.1109/iccs.2012.6406132
22500687,2010,2012,3300000,0,82406,3,556,8,10.1016/j.neulet.2012.07.028
22500687,2010,2012,3300000,0,82406,3,556,8,10.1016/j.ejphar.2011.06.026
22500405,2010,2012,3200000,0,13801,3,556,1,10.3390/s120100895
22500405,2010,2012,3200000,0,13801,3,556,1,10.1007/s12576-011-0145-z
22500405,2010,2012,3200000,0,13801,3,556,1,10.1063/1.4759491
22500405,2010,2012,3200000,0,13801,3,556,1,10.1007/978-1-4614-4989-8_38
22510147,2010,2012,2000000,0,14401,3,556,1,10.7232/iems.2012.11.1.030
22510249,2010,2012,3300000,0,82101,3,556,10,10.1371/journal.pone.0041057
22500658,2010,2012,3300000,0,12601,3,556,1,10.1155/2013/593267
22500658,2010,2012,3300000,0,12601,3,556,1,10.1155/2012/768304
22500658,2010,2012,3300000,0,12601,3,556,1,10.1007/s11010-011-0977-0
22500658,2010,2012,3300000,0,12601,3,556,1,10.1007/s13105-011-0083-5
22500658,2010,2012,3300000,0,12601,3,556,1,10.1007/s11010-010-0677-1
22500658,2010,2012,3300000,0,12601,3,556,1,10.1007/s11010-010-0668-2
22500658,2010,2012,3300000,0,12601,3,556,1,10.1007/s11010-010-0622-3
22500658,2010,2012,3300000,0,12601,3,556,1,10.1093/jb/mvp185
22510091,2010,2012,2400000,0,34401,3,556,3,10.1007/s00795-011-0560-5
22510091,2010,2012,2400000,0,34401,3,556,3,10.1016/j.ecoenv.2011.11.028
22500729,2010,2012,3400000,0,13101,3,556,1,10.1271/bbb.120969
22501032,2010,2012,3500000,0,17701,3,556,1,10.1245/s10434-012-2355-x
22501032,2010,2012,3500000,0,17701,3,556,1,10.1159/000341390
22501032,2010,2012,3500000,0,17701,3,556,1,10.1038/sj.bjc.6606075
22501032,2010,2012,3500000,0,17701,3,556,1,10.1111/j.1349-7006.2011.01877.x
22501032,2010,2012,3500000,0,17701,3,556,1,10.1245/s10434-011-1711-6
22501032,2010,2012,3500000,0,17701,3,556,1,10.1002/jso.21722
22500324,2010,2012,3400000,0,82609,3,556,11,10.1155/2011/374943
22500324,2010,2012,3400000,0,82609,3,556,11,10.1007/s00418-012-0934-3
22500324,2010,2012,3400000,0,82609,3,556,11,10.1016/j.neuint.2013.01.008
22500324,2010,2012,3400000,0,82609,3,556,11,10.1002/jnr.22605
22501054,2010,2012,3200000,0,37111,3,556,3,10.4172/2161-0398.1000108
22501054,2010,2012,3200000,0,37111,3,556,3,10.1371/journal.pone.0038615
22501054,2010,2012,3200000,0,37111,3,556,3,10.3390/ma5030501
22501054,2010,2012,3200000,0,37111,3,556,3,10.1016/j.juro.2011.12.059
22501054,2010,2012,3200000,0,37111,3,556,3,10.1097/tp.0b013e31824d3508
22501054,2010,2012,3200000,0,37111,3,556,3,10.1038/ncomms1317
22500407,2010,2012,3500000,0,14401,3,556,1,10.4172/2167-0501.1000108
22500276,2010,2012,3400000,0,34315,3,556,3,10.1007/s10719-012-9436-8
22500276,2010,2012,3400000,0,34315,3,556,3,10.1016/j.gene.2012.11.080
22500276,2010,2012,3400000,0,34315,3,556,3,10.1093/bioinformatics/bts700
22500276,2010,2012,3400000,0,34315,3,556,3,10.1111/gtc.12000
22500276,2010,2012,3400000,0,34315,3,556,3,10.1016/j.jprot.2012.04.038
22500276,2010,2012,3400000,0,34315,3,556,3,10.1194/jlr.m010173
22500276,2010,2012,3400000,0,34315,3,556,3,10.3390/ijms11124991
22500276,2010,2012,3400000,0,34315,3,556,3,10.1007/s11745-010-3438-8
22500077,2010,2012,3400000,0,37112,3,556,3,10.1007/s00607-012-0233-9
22500077,2010,2012,3400000,0,37112,3,556,3,10.1007/s10586-012-0230-y
22500077,2010,2012,3400000,0,37112,3,556,3,10.1504/ijssc.2012.048896
22500077,2010,2012,3400000,0,37112,3,556,3,10.1007/s10845-010-0412-5
22500077,2010,2012,3400000,0,37112,3,556,3,10.1007/s11042-010-0499-x
22500077,2010,2012,3400000,0,37112,3,556,3,10.1109/tie.2010.2047831
22500077,2010,2012,3400000,0,37112,3,556,3,10.1109/tie.2010.2050751
22500077,2010,2012,3400000,0,37112,3,556,3,10.1260/1748-3018.5.2.273
22500077,2010,2012,3400000,0,37112,3,556,3,10.1504/ijbidm.2011.041956
22500077,2010,2012,3400000,0,37112,3,556,3,10.1142/s0219265911002952
22500077,2010,2012,3400000,0,37112,3,556,3,10.1016/j.simpat.2010.08.014
22500077,2010,2012,3400000,0,37112,3,556,3,10.1504/ijguc.2011.040600
22500077,2010,2012,3400000,0,37112,3,556,3,10.1186/2192-1962-1-3
22500077,2010,2012,3400000,0,37112,3,556,3,10.1007/s12652-011-0047-1
22500077,2010,2012,3400000,0,37112,3,556,3,10.1016/j.camwa.2011.07.035
22500077,2010,2012,3400000,0,37112,3,556,3,10.1007/s12652-011-0099-2
22500774,2010,2012,3200000,0,32643,3,556,3,10.1016/j.bbrc.2012.12.098
22500774,2010,2012,3200000,0,32643,3,556,3,10.1097/mbc.0b013e32835bfdf3
22500774,2010,2012,3200000,0,32643,3,556,3,10.1016/j.thromres.2012.08.297
22500774,2010,2012,3200000,0,32643,3,556,3,10.3896/ibra.1.51.2.06
22500774,2010,2012,3200000,0,32643,3,556,3,10.1097/mbc.0b013e328349a22c
22500774,2010,2012,3200000,0,32643,3,556,3,10.1002/biof.187
22500686,2010,2014,3500000,0,74314,5,556,11,10.2147/dddt.s46654
22500686,2010,2014,3500000,0,74314,5,556,11,10.1016/j.jinf.2013.04.010
22500686,2010,2014,3500000,0,74314,5,556,11,10.1007/s15010-011-0162-0
22500332,2010,2012,3300000,0,14301,3,556,1,10.2332/allergolint.12-oa-0450
22500215,2010,2012,2800000,0,34425,3,556,3,10.1145/2001576.2001785
22500215,2010,2012,2800000,0,34425,3,556,3,10.1109/cec.2011.5949702
22500887,2010,2014,3300000,0,17101,5,556,1,10.1145/2608628.2627492
22500309,2010,2012,3200000,0,14301,3,556,1,10.1111/j.1460-9568.2010.07492.x
22500662,2010,2012,3500000,0,14301,3,556,1,10.1100/2012/637978
22500662,2010,2012,3500000,0,14301,3,556,1,10.1155/2012/381763
22500662,2010,2012,3500000,0,14301,3,556,1,10.1007/s12576-011-0188-1
22500007,2010,2014,4000000,0,12601,5,556,1,10.1007/978-3-642-38756-2_9
22500007,2010,2014,4000000,0,12601,5,556,1,10.1007/978-3-642-45030-3_41
22500007,2010,2014,4000000,0,12601,5,556,1,10.1137/120899480
22500007,2010,2014,4000000,0,12601,5,556,1,10.1137/100808800
22500007,2010,2014,4000000,0,12601,5,556,1,10.1007/s00453-012-9741-4
23510251,2011,2013,4200000,1,10101,3,556,1,10.1021/bi401295e
23510251,2011,2013,4200000,1,10101,3,556,1,10.1016/j.bpc.2013.01.001
23510251,2011,2013,4200000,1,10101,3,556,1,10.1021/jz301287n
23510251,2011,2013,4200000,1,10101,3,556,1,10.1016/j.bpj.2012.05.008
23510251,2011,2013,4200000,1,10101,3,556,1,10.1016/j.bbamem.2011.08.035
23510251,2011,2013,4200000,1,10101,3,556,1,10.1021/jp311665z
23510251,2011,2013,4200000,1,10101,3,556,1,10.1021/jp4001187
23510251,2011,2013,4200000,1,10101,3,556,1,10.1016/j.febslet.2012.12.022
23510251,2011,2013,4200000,1,10101,3,556,1,10.1021/bi300940p
23510251,2011,2013,4200000,1,10101,3,556,1,10.1021/bi3009592
23510251,2011,2013,4200000,1,10101,3,556,1,10.1016/j.jphotobiol.2011.10.009
23510251,2011,2013,4200000,1,10101,3,556,1,10.1021/bi2009932
23510251,2011,2013,4200000,1,10101,3,556,1,10.1016/j.jmb.2011.06.028
23500460,2011,2013,3800000,1,12102,3,556,1,10.1111/gtc.12081
23500531,2011,2013,4000000,1,33916,3,556,3,10.1007/s10047-012-0675-z
23500531,2011,2013,4000000,1,33916,3,556,3,10.1007/s00702-012-0844-5
23500531,2011,2013,4000000,1,33916,3,556,3,10.1159/000322624
23510029,2011,2013,4000000,1,18001,3,556,1,10.1016/j.apgeochem.2013.07.005
23510029,2011,2013,4000000,1,18001,3,556,1,10.1016/j.gexplo.2012.12.009
23510029,2011,2013,4000000,1,18001,3,556,1,10.1016/j.marchem.2012.12.004
23510029,2011,2013,4000000,1,18001,3,556,1,10.1016/j.gexplo.2012.04.009
23510029,2011,2013,4000000,1,18001,3,556,1,10.1007/s10967-011-1102-2
23500492,2011,2013,3900000,1,12602,3,556,1,10.1242/dev.081778
23500492,2011,2013,3900000,1,12602,3,556,1,10.1242/jcs.100867
23500492,2011,2013,3900000,1,12602,3,556,1,10.1007/s11248-012-9635-x
23500492,2011,2013,3900000,1,12602,3,556,1,10.1091/mbc.e11-12-1025
23500492,2011,2013,3900000,1,12602,3,556,1,10.1016/j.fertnstert.2012.04.029
23510022,2011,2013,3800000,1,82706,3,556,10,10.1038/srep01915
23510022,2011,2013,3800000,1,82706,3,556,10,10.1002/anie.201302704
23510022,2011,2013,3800000,1,82706,3,556,10,10.1029/2011gb004177
23510022,2011,2013,3800000,1,82706,3,556,10,10.1016/j.dsr.2014.05.005
23510022,2011,2013,3800000,1,82706,3,556,10,10.1038/ngeo1773
23510022,2011,2013,3800000,1,82706,3,556,10,10.1016/j.dsr2.2011.03.007
23500522,2011,2013,4000000,1,21601,3,556,2,10.1109/embc.2013.6609477
23500522,2011,2013,4000000,1,21601,3,556,2,10.2174/157340212800840708
23500522,2011,2013,4000000,1,21601,3,556,2,10.1038/hr.2013.104
23500522,2011,2013,4000000,1,21601,3,556,2,10.1093/ajh/hps037
23510171,2011,2013,4300000,1,15401,3,556,1,10.1080/03610918.2013.848895
23510171,2011,2013,4300000,1,15401,3,556,1,10.1109/tr.2013.2285055
23510171,2011,2013,4300000,1,15401,3,556,1,10.1504/ijrs.2013.055821
23510171,2011,2013,4300000,1,15401,3,556,1,10.1109/tc.2011.208
23510171,2011,2013,4300000,1,15401,3,556,1,10.1016/j.peva.2012.07.004
23510171,2011,2013,4300000,1,15401,3,556,1,10.1016/j.ress.2012.02.002
23510171,2011,2013,4300000,1,15401,3,556,1,10.4236/jsea.2013.64a003
23510171,2011,2013,4300000,1,15401,3,556,1,10.4236/jsea.2013.64a006
23510171,2011,2013,4300000,1,15401,3,556,1,10.1002/asmb.1919
23510171,2011,2013,4300000,1,15401,3,556,1,10.1155/2012/524636
23510171,2011,2013,4300000,1,15401,3,556,1,10.1016/j.jcss.2011.10.022
23510171,2011,2013,4300000,1,15401,3,556,1,10.1007/s11227-014-1162-5
23500240,2011,2013,4000000,1,12612,3,556,1,10.7210/jrsj.31.263
23500240,2011,2013,4000000,1,12612,3,556,1,10.5057/jjske.12.219
23500103,2011,2014,3700000,1,34416,4,556,3,10.1587/transfun.e98.a.294
23500590,2011,2013,4000000,1,17701,3,556,1,10.1155/2013/621405
23500590,2011,2013,4000000,1,17701,3,556,1,10.1016/j.acthis.2013.08.009
23500590,2011,2013,4000000,1,17701,3,556,1,10.1111/bph.12497
23510163,2011,2014,4200000,1,32675,4,556,3,10.11121/ijocta.01.2013.00140
