awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi,Title,Authors,Source Title,Publication Date,Publication Year,Total Citations,Average per Year,ave_3,ave_5
21500370,2009,2011,3700000,0,17201,3,INT,1,10.1152/jn.00838.2010,Acetylcholine and norepinephrine mediate GABAergic but not glycinergic transmission enhancement by melittin in adult rat substantia gelatinosa neurons,"Liu, Tao; Fujita, Tsugumi; Kumamoto, Eiichi",JOURNAL OF NEUROPHYSIOLOGY,11-Jul,2011,18,1.38,1.333333333,2.0
21500424,2009,2011,3500000,0,13601,3,INT,1,10.1016/j.ydbio.2010.08.029,Protein kinase A regulates GDNF/RET-dependent but not GDNF/Ret-independent ureteric bud outgrowth from the Wolffian duct,"Tee, James B.; Choi, Yohan; Shah, Mita M.; Dnyanmote, Ankur; Sweeney, Derina E.; Gallegos, Tom F.; Johkura, Kohei; Ito, Chiharu; Bush, Kevin T.; Nigam, Sanjay K.",DEVELOPMENTAL BIOLOGY,NOV 15 2010,2010,10,0.71,0.0,0.6
21500424,2009,2011,3500000,0,13601,3,INT,1,10.1089/ten.tea.2009.0548,Constructing Kidney-like Tissues from Cells Based on Programs for Organ Development: Toward a Method of In Vitro Tissue Engineering of the Kidney,"Rosines, Eran; Johkura, Kohei; Zhang, Xing; Schmidt, Heidi J.; DeCambre, Marvalyn; Bush, Kevin T.; Nigam, Sanjay K.",TISSUE ENGINEERING PART A,10-Aug,2010,48,3.43,3.333333333,4.8
21500424,2009,2011,3500000,0,13601,3,INT,1,10.1152/ajprenal.00125.2009,"The instructive role of metanephric mesenchyme in ureteric bud patterning, sculpting, and maturation and its potential ability to buffer ureteric bud branching defects","Shah, Mita M.; Tee, James B.; Meyer, Tobias; Meyer-Schwesinger, Catherine; Choi, Yohan; Sweeney, Derina E.; Gallegos, Thomas F.; Johkura, Kohei; Rosines, Eran; Kouznetsova, Valentina; Rose, David W.; Bush, Kevin T.; Sakurai, Hiroyuki; Nigam, Sanjay K.",AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,09-Nov,2009,22,1.47,3.333333333,2.8
21500424,2009,2011,3500000,0,13601,3,INT,1,10.1088/0022-3727/44/37/372001,A key inactivation factor of HeLa cell viability by a plasma flow,"Sato, Takehiko; Yokoyama, Mayo; Johkura, Kohei",JOURNAL OF PHYSICS D-APPLIED PHYSICS,SEP 21 2011,2011,65,5.0,1.0,3.2
21500398,2009,2011,3400000,0,84420,3,INT,10,10.1016/j.ydbio.2009.04.030,The transcriptional repressor RP58 is crucial for cell-division patterning and neuronal survival in the developing cortex,"Okado, Haruo; Ohtaka-Maruyama, Chiaki; Sugitani, Yoshinobu; Fukuda, Yuko; Ishida, Reiko; Hirai, Shinobu; Miwa, Akiko; Takahashi, Akiyo; Aoki, Katsunori; Mochida, Keiji; Suzuki, Osamu; Honda, Takao; Nakajima, Kazunori; Ogawa, Masaharu; Terashima, Toshio; Matsuda, Junichiro; Kawano, Hitoshi; Kasai, Masataka",DEVELOPMENTAL BIOLOGY,JUL 15 2009,2009,44,2.93,2.333333333,3.4
21500398,2009,2011,3400000,0,84420,3,INT,10,10.2183/pjab.87.550,"Adult onset cardiac dilatation in a transgenic mouse line with Gal beta 1,3GalNAc alpha 2,3-sialyltransferase II (ST3Gal-II) transgenes: a new model for dilated cardiomyopathy","Suzuki, Osamu; Kanai, Takao; Nishikawa, Toshio; Yamamoto, Yoshie; Noguchi, Akira; Takimoto, Kazuhiro; Koura, Minako; Noguchi, Yoko; Uchio-Yamada, Kozue; Tsuji, Shuichi; Matsuda, Junichiro",PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,11-Oct,2011,16,1.23,1.0,1.0
21500398,2009,2011,3400000,0,84420,3,INT,10,10.1371/journal.pgen.1002279,Dynamic Replacement of Histone H3 Variants Reprograms Epigenetic Marks in Early Mouse Embryos,"Akiyama, Tomohiko; Suzuki, Osamu; Matsuda, Junichiro; Aoki, Fugaku",PLOS GENETICS,11-Oct,2011,105,8.08,2.666666667,7.6
21500450,2009,2011,3600000,0,24601,3,INT,2,10.3892/etm.2012.474,Therapeutic strategies for head and neck cancer based on p53 status (Review),"Ota, Ichiro; Okamoto, Noritomo; Yane, Katsunari; Takahashi, Akihisa; Masui, Takashi; Hosoi, Hiroshi; Ohnishi, Takeo",EXPERIMENTAL AND THERAPEUTIC MEDICINE,12-Apr,2012,7,0.58,0.333333333,0.6
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1007/s00418-012-0934-3,Myelination in coculture of established neuronal and Schwann cell lines,"Sango, Kazunori; Kawakami, Emiko; Yanagisawa, Hiroko; Takaku, Shizuka; Tsukamoto, Masami; Utsunomiya, Kazunori; Watabe, Kazuhiko",HISTOCHEMISTRY AND CELL BIOLOGY,12-Jun,2012,21,1.75,1.0,1.4
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1007/s00418-012-0934-3,Myelination in coculture of established neuronal and Schwann cell lines,"Sango, Kazunori; Kawakami, Emiko; Yanagisawa, Hiroko; Takaku, Shizuka; Tsukamoto, Masami; Utsunomiya, Kazunori; Watabe, Kazuhiko",HISTOCHEMISTRY AND CELL BIOLOGY,12-Jun,2012,21,1.75,1.0,1.4
22500324,2010,2012,3400000,0,82609,3,INT,11,10.1007/s00418-012-0934-3,Myelination in coculture of established neuronal and Schwann cell lines,"Sango, Kazunori; Kawakami, Emiko; Yanagisawa, Hiroko; Takaku, Shizuka; Tsukamoto, Masami; Utsunomiya, Kazunori; Watabe, Kazuhiko",HISTOCHEMISTRY AND CELL BIOLOGY,12-Jun,2012,21,1.75,1.0,1.4
22500324,2010,2012,3400000,0,82609,3,INT,11,10.1007/s00418-012-0934-3,Myelination in coculture of established neuronal and Schwann cell lines,"Sango, Kazunori; Kawakami, Emiko; Yanagisawa, Hiroko; Takaku, Shizuka; Tsukamoto, Masami; Utsunomiya, Kazunori; Watabe, Kazuhiko",HISTOCHEMISTRY AND CELL BIOLOGY,12-Jun,2012,21,1.75,1.0,1.4
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1155/2011/374943,Immortalized Adult Rodent Schwann Cells as In Vitro Models to Study Diabetic Neuropathy,"Sango, Kazunori; Yanagisawa, Hiroko; Takaku, Shizuka; Kawakami, Emiko; Watabe, Kazuhiko",EXPERIMENTAL DIABETES RESEARCH,2011,2011,20,1.54,1.0,1.2
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1155/2011/374943,Immortalized Adult Rodent Schwann Cells as In Vitro Models to Study Diabetic Neuropathy,"Sango, Kazunori; Yanagisawa, Hiroko; Takaku, Shizuka; Kawakami, Emiko; Watabe, Kazuhiko",EXPERIMENTAL DIABETES RESEARCH,2011,2011,20,1.54,1.0,1.2
22500324,2010,2012,3400000,0,82609,3,INT,11,10.1155/2011/374943,Immortalized Adult Rodent Schwann Cells as In Vitro Models to Study Diabetic Neuropathy,"Sango, Kazunori; Yanagisawa, Hiroko; Takaku, Shizuka; Kawakami, Emiko; Watabe, Kazuhiko",EXPERIMENTAL DIABETES RESEARCH,2011,2011,20,1.54,1.0,1.2
22500324,2010,2012,3400000,0,82609,3,INT,11,10.1155/2011/374943,Immortalized Adult Rodent Schwann Cells as In Vitro Models to Study Diabetic Neuropathy,"Sango, Kazunori; Yanagisawa, Hiroko; Takaku, Shizuka; Kawakami, Emiko; Watabe, Kazuhiko",EXPERIMENTAL DIABETES RESEARCH,2011,2011,20,1.54,1.0,1.2
21500341,2009,2011,3500000,0,82609,3,INT,11,10.3109/17482968.2011.566342,A morphometric study of the vagus nerve in amyotropic lateral sclerosis with circulatory collapse,"Shimizu, Toshio; Hayashi, Michiyuki; Kawata, Akihiro; Mizutani, Toshio; Watabe, Kazuhiko; Matsubara, Shiro",AMYOTROPHIC LATERAL SCLEROSIS,11-Sep,2011,7,0.54,0.666666667,0.6
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1016/j.neuroscience.2011.05.034,METALLOTHIONEIN-III PREVENTS NEURONAL DEATH AND PROLONGS LIFE SPAN IN AMYOTROPHIC LATERAL SCLEROSIS MODEL MICE,"Hashimoto, K.; Hayashi, Y.; Watabe, K.; Inuzuka, T.; Hozumi, I.",NEUROSCIENCE,AUG 25 2011,2011,27,2.08,2.0,1.8
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1002/jnr.22605,Spontaneously Immortalized Schwann Cells From Adult Fischer Rat as a Valuable Tool for Exploring Neuron-Schwann Cell Interactions,"Sango, Kazunori; Yanagisawa, Hiroko; Kawakami, Emiko; Takaku, Shizuka; Ajiki, Kyoko; Watabe, Kazuhiko",JOURNAL OF NEUROSCIENCE RESEARCH,11-Jun,2011,28,2.15,1.333333333,2.0
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1002/jnr.22605,Spontaneously Immortalized Schwann Cells From Adult Fischer Rat as a Valuable Tool for Exploring Neuron-Schwann Cell Interactions,"Sango, Kazunori; Yanagisawa, Hiroko; Kawakami, Emiko; Takaku, Shizuka; Ajiki, Kyoko; Watabe, Kazuhiko",JOURNAL OF NEUROSCIENCE RESEARCH,11-Jun,2011,28,2.15,1.333333333,2.0
22500324,2010,2012,3400000,0,82609,3,INT,11,10.1002/jnr.22605,Spontaneously Immortalized Schwann Cells From Adult Fischer Rat as a Valuable Tool for Exploring Neuron-Schwann Cell Interactions,"Sango, Kazunori; Yanagisawa, Hiroko; Kawakami, Emiko; Takaku, Shizuka; Ajiki, Kyoko; Watabe, Kazuhiko",JOURNAL OF NEUROSCIENCE RESEARCH,11-Jun,2011,28,2.15,1.333333333,2.0
22500324,2010,2012,3400000,0,82609,3,INT,11,10.1002/jnr.22605,Spontaneously Immortalized Schwann Cells From Adult Fischer Rat as a Valuable Tool for Exploring Neuron-Schwann Cell Interactions,"Sango, Kazunori; Yanagisawa, Hiroko; Kawakami, Emiko; Takaku, Shizuka; Ajiki, Kyoko; Watabe, Kazuhiko",JOURNAL OF NEUROSCIENCE RESEARCH,11-Jun,2011,28,2.15,1.333333333,2.0
21500341,2009,2011,3500000,0,82609,3,INT,11,10.3109/17482968.2010.539234,Hyperosmolar hyperglycemic state in advanced amyotrophic lateral sclerosis,"Shimizu, Toshio; Honda, Masayuki; Ohashi, Takuya; Tsujino, Motoyoshi; Nagaoka, Utako; Kawata, Akihiro; Watabe, Kazuhiko; Matsubara, Shiro; Hayashi, Hideaki",AMYOTROPHIC LATERAL SCLEROSIS,11-Sep,2011,14,1.08,0.666666667,0.8
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1111/j.1440-1789.2010.01123.x,Morphological changes of Golgi apparatus in adult rats after facial nerve injuries,"Fujita, Yukio; Watabe, Kazuhiko; Ikeda, Ken; Mizuno, Yuji; Okamoto, Koichi",NEUROPATHOLOGY,11-Feb,2011,3,0.23,0.333333333,0.6
21500341,2009,2011,3500000,0,82609,3,INT,11,10.2353/ajpath.2009.090343,Establishment of an Improved Mouse Model for Infantile Neuroaxonal Dystrophy That Shows Early Disease Onset and Bears a Point Mutation in Pla296,"Wada, Haruka; Yasuda, Takuwa; Miura, Ikuo; Watabe, Kazuhiko; Sawa, Chika; Kamijuku, Hajime; Kojo, Satoshi; Taniguchi, Masaru; Nishino, Ichizo; Wakana, Shigeharu; Yoshida, Hisahiro; Seino, Ken-ichiro",AMERICAN JOURNAL OF PATHOLOGY,09-Dec,2009,45,3.0,2.666666667,3.6
21500341,2009,2011,3500000,0,82609,3,INT,11,10.1002/jbm.a.32329,Effects of Schwann cell alignment along the oriented electrospun chitosan nanofibers on nerve regeneration,"Wang, Wei; Itoh, Soichiro; Konno, Katsumi; Kikkawa, Takeshi; Ichinose, Shizuko; Sakai, Katsuyoshi; Ohkuma, Tsuneo; Watabe, Kazuhiko",JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,DEC 15 2009,2009,121,8.07,5.333333333,8.2
21500974,2009,2012,3500000,0,12608,4,INT,1,10.1177/0306312712437619,Kuhn's Structure in Japan,"Nakajima, Hideto",SOCIAL STUDIES OF SCIENCE,12-Jun,2012,3,0.25,1.0,0.6
21500282,2009,2011,3500000,0,32630,3,INT,3,10.1007/s11749-011-0257-z,Comments on: Inference in multivariate Archimedean copula models,"Tsukahara, Hideatsu",TEST,11-Aug,2011,1,0.08,0.0,0.2
21500282,2009,2011,3500000,0,32630,3,INT,3,10.1111/j.1467-9965.2009.00385.x,ONE-PARAMETER FAMILIES OF DISTORTION RISK MEASURES,"Tsukahara, Hideatsu",MATHEMATICAL FINANCE,09-Oct,2009,9,0.6,0.0,0.4
21500408,2009,2012,3400000,0,14401,4,INT,1,10.1002/mrm.24452,Direct imaging of hyperpolarized 129Xe alveolar gas uptake in a mouse model of emphysema,"Iguchi, Satoshi; Imai, Hirohiko; Hori, Yuki; Nakajima, Junichi; Kimura, Atsuomi; Fujiwara, Hideaki",MAGNETIC RESONANCE IN MEDICINE,13-Jul,2013,15,1.36,1.666666667,1.8
21500087,2009,2011,3500000,0,37102,3,INT,3,10.1002/cpe.2841,A methodology for ontology update in the semantic grid environment,"Flahive, Andrew; Taniar, David; Rahayu, Wenny; Apduhan, Bernady O.",CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,MAR 25 2015,2015,9,1.0,1.666666667,1.0
21500948,2009,2011,3500000,0,21602,3,INT,2,10.1016/j.knosys.2011.04.007,Movie-based representation of reduction operations in numerical computing,"Vazhenin, D.; Mirenkov, N.; Vazhenin, A.",KNOWLEDGE-BASED SYSTEMS,11-Oct,2011,1,0.08,0.0,0.0
21500494,2009,2011,3500000,0,32635,3,INT,3,10.1007/s10047-012-0633-9,Journal of Artificial Organs 2011: the year in review,"Sawa, Y.; Tatsumi, E.; Tsukiya, T.; Funakubo, A.; Horiuchi, T.; Iwasaki, K.; Kishida, A.; Masuzawa, T.; Matsuda, K.; Myoui, A.; Nishimura, M.; Nishimura, T.; Tokunaga, S.; Tomizawa, Y.; Tomo, T.; Yamaoka, T.",JOURNAL OF ARTIFICIAL ORGANS,2012,2012,5,0.42,0.666666667,0.8
